# 由 glimmer-gloss-gen 生成（LLM），音标来自 ipa-dict。词	[词性. ]译词[|音标]	[词性. ]译词[|音标]
㕮	v. chew|tʃuː
㘎	v. roar|rɔːr
㙘	adj. beautiful|ˈbjuːtəfəl
㙦	n. mound|maʊnd
㛃	adj. pure|pjʊr
㛚	adj. same|seɪm
㛹	adj. beautiful|ˈbjuːtəfəl
㠇	n. mountain|ˈmaʊntən
㠓	adj. misty|ˈmɪsti
㤘	v. to be stubborn|tuː biː ˈstʌbərn
㥄	adj. sad|sæd
㧐	v. to push|tuː pʊʃ
㧑	v. wave|weɪv
㧟	v. to scratch|tuː skrætʃ
㫰	v. dry|draɪ
㬊	adj. bright|braɪt
㬚	adj. bright|braɪt
㭎	n. oak|oʊk
㭕	n. tree|triː
㰀	v. drink|drɪŋk
㳇	n. wave|weɪv
㳘	n. sound|saʊnd
㳚	n. puddle|ˈpʌdəl
㴔	adj. swift|swɪft
㵐	v. dry|draɪ
㶲	n. exergy
㸆	v. roast|roʊst
㸌	adj. bright|braɪt
㺄	n. beast|biːst
㽏	n. bowl|boʊl
㿠	adj. bright|braɪt
䁖	v. look|lʊk
䂮	n. sharp|ʃɑːrp
䃅	n. stone|stoʊn
䃎	n. stone|stoʊn
䅟	n. grain|ɡreɪn
䌹	n. thin silk|θɪn sɪlk
䎃	adj. soft|sɑːft
䎖	v. soar|sɔːr
䏝	n. intestine|ˌɪnˈtestən
䏡	n. meat|miːt
䏲	n. thin|θɪn
䐃	n. fat|fæt
䓖	n. grass|ɡræs
䓛	n. chrysene
䓨	n. basket|ˈbæskət
䓫	n. grass|ɡræs
䓬	n. tropane
䗖	n. rainbow|ˈreɪnˌboʊ
䗛	n. stick insect|stɪk ˈɪnˌsekt
䗪	n. cockroach|ˈkɑːˌkroʊtʃ
䗴	n. insect|ˈɪnˌsekt
䜣	n. Xin
䝙	n. beast|biːst
䢺	n. place|pleɪs
䢼	n. tripod|ˈtraɪˌpɑːd
䣘	n. village|ˈvɪlədʒ
䥽	n. hoe|hoʊ
䦃	n. hoe|hoʊ
䲟	n. remora
䲠	n. Spanish mackerel|ˈspænɪʃ ˈmækərəl
䲢	n. stargazer|ˈstɑːrˌɡeɪzər
䴓	n. nuthatch
䴔	n. bird|bɜːrd
䴕	n. woodpecker|ˈwʊdˌpekər
䴖	n. bird|bɜːrd
䴗	n. bird|bɜːrd
䴘	n. grebe|ɡriːb
䴙	n. grebe|ɡriːb
一	num. one|wʌn
一一	adv. one by one|wʌn baɪ wʌn
一一七中学	n. No. 117 Middle School
一一生绿苔	phr. moss grows everywhere|mɔːs ɡroʊz ˈevriːˌwer
一丁	m. one block|wʌn blɑːk
一丁点	n. a bit|eɪ bɪt
一丁点儿	phr. a tiny bit|eɪ ˈtaɪni bɪt
一万	num. ten thousand|ten ˈθaʊzən
一万个	num. ten thousand|ten ˈθaʊzən
一万倍	n. ten thousand times|ten ˈθaʊzən taɪmz
一万元	n. ten thousand yuan|ten ˈθaʊzən juːˈɑːn
一万多	phr. over ten thousand|ˈoʊvər ten ˈθaʊzən
一万年	n. ten thousand years|ten ˈθaʊzən jɪrz
一万次	phr. ten thousand times|ten ˈθaʊzən taɪmz
一万遍	phr. ten thousand times|ten ˈθaʊzən taɪmz
一丈	m. one zhang|wʌn ʒæŋ
一上午	n. whole morning|hoʊl ˈmɔːrnɪŋ
一上来	adv. at first|æt fɜːrst
一上班	v. start work|stɑːrt wɜːrk
一下	m. once|wʌns	m. a bit|eɪ bɪt
一下下	phr. a little while|eɪ ˈlɪtəl hwaɪl
一下么	phr. a bit|eɪ bɪt
一下了	phr. for a while|fɔːr eɪ hwaɪl
一下午	n. whole afternoon|hoʊl ˌæftərˈnuːn
一下吧	phr. just do it|dʒʌst duː ɪt
一下啊	phr. a bit|eɪ bɪt
一下嘛	phr. just a bit|dʒʌst eɪ bɪt
一下子	adv. suddenly|ˈsʌdənli	adv. at once|æt wʌns
一下就	phr. in a flash|ɪn eɪ flæʃ
一下而已	phr. just a moment|dʒʌst eɪ ˈmoʊmənt
一下雨	phr. when it rains|hwen ɪt reɪnz
一不小心	phr. carelessly|ˈkerləsli
一不留神	phr. carelessly|ˈkerləsli
一专多能	phr. versatile|ˈvɜːrsətəl
一世	n. lifetime|ˈlaɪfˌtaɪm	n. generation|ˌdʒenərˈeɪʃən
一丘一壑	phr. secluded|sɪˈkluːdɪd
一丘之貉	phr. birds of a feather|bɜːrdz ʌv eɪ ˈfeðər
一丝	m. a trace of|eɪ treɪs ʌv
一丝一毫	phr. a bit|eɪ bɪt
一丝不挂	phr. stark naked|stɑːrk ˈneɪkəd
一丝不苟	phr. meticulous|məˈtɪkjələs
一丝丝	m. a tiny bit|eɪ ˈtaɪni bɪt
一丢丢	phr. a tiny bit|eɪ ˈtaɪni bɪt
一两	num. one or two|wʌn ɔːr tuː
一两个	num. one or two|wʌn ɔːr tuː
一两个月	phr. one or two months|wʌn ɔːr tuː mʌnθs
一两天	n. a day or two|eɪ deɪ ɔːr tuː
一两年	phr. one or two years|wʌn ɔːr tuː jɪrz
一两次	phr. once or twice|wʌns ɔːr twaɪs
一个	m. one|wʌn
一个一个	phr. one by one|wʌn baɪ wʌn
一个世纪	phr. a century|eɪ ˈsentʃəri
一个个	phr. one by one|wʌn baɪ wʌn
一个中国	phr. One China|wʌn ˈtʃaɪnə
一个人	n. one person|wʌn ˈpɜːrsən
一个人吃	phr. eat alone|iːt əˈloʊn
一个人啊	phr. alone|əˈloʊn
一个人的	phr. alone|əˈloʊn
一个人睡	phr. sleep alone|sliːp əˈloʊn
一个人走	phr. walk alone|wɑːk əˈloʊn
