# 由 tools/corpus/glossary_es.py 生成（Azure Translator F0）。词	[词性. ]译词	[词性. ]译词
㕮	v. masticar
㘎	v. rugir
㤘	v. ser terco
㧐	v. empujar
㧑	v. ondear
㧟	v. rascar
㫰	v. secar
㰀	v. beber
㳇	n. salpicadura
㳘	n. saw
㳚	n. salpicadura
㵐	v. secar
㸆	v. tostar
䁖	v. mirar
䌹	n. seda
䎃	adj. jade
䎖	v. volar
䗖	n. cangrejo
䗛	n. cangrejo
䗪	n. mierda
䗴	n. cangrejo
䢺	n. raro e inflexible
䣘	n. piedra rara
䥽	n. barra metálica
䦃	n. paso
䲠	n. Vino raro
䴓	n. somormujo
䴔	n. somormujo
䴕	n. oriole
䴖	n. somormujo
䴗	n. pájaro
䴘	n. pájaro
䴙	n. somormujo
一	num. 1
一一	adv. yi Yi
一一七中学	n. 117 Escuela Media
一丁	m. un ding
一丁点	n. solo un poquito
一丁点儿	phr. solo un poquito
一万	num. diez mil
一万个	num. diez mil de ellos
一万倍	n. diez mil veces
一万元	n. 10.000 yuanes
一万多	phr. más de diez mil
一万年	n. diez mil años
一万次	phr. diez mil veces
一万遍	phr. diez mil veces
一丈	m. un zhang
一上午	n. toda la mañana
一上来	adv. súbete
一上班	v. comenzar el trabajo
一下	m. un poco
一下下	phr. poco a poco
一下么	phr. solo un poco
一下了	phr. fue un momento
一下午	n. toda la tarde
一下吧	phr. vamos un rato
一下啊	phr. solo una vez
一下嘛	phr. solo un poco
一下子	adv. all at Once
一下就	phr. en un instante
一下而已	phr. solo un poco
一下雨	phr. empezó a llover
一不小心	phr. un momento descuidado
一不留神	phr. uno es descuidado
一世	n. una generación
一丝	m. una huella
一丝一毫	phr. ni rastro de ello
一丝不挂	phr. completamente desnudo
一丝不苟	phr. meticuloso y meticuloso
一丝丝	m. poco a poco
一丢丢	phr. solo un poquito
一两	num. un tael
一两个	num. uno o dos
一两个月	phr. uno o dos meses
一两天	n. uno o dos días
一两年	phr. uno o dos años
一两次	phr. una o dos veces
一个	m. uno
一个一个	phr. uno a uno
一个世纪	phr. un siglo
一个个	phr. uno a uno
一个中国	phr. Una sola China
一个人	n. solo
一个人吃	phr. comer solo
一个人啊	phr. solo
一个人的	phr. una persona
一个人睡	phr. durmiendo solo
一个人走	phr. caminando solo
一个亿	phr. cien millones
一个例子	phr. un ejemplo
