# 网络用语与聊天短语（汉字词），从 candidates.tsv 拆出（2026-09-22 维护者整表通过）。
# 来源：起草者自身的中文互联网知识，没有抄任何外部词表，无许可约束；收词标准与档位见同目录 README.md。
# 次数三档：低 20 / 中 200 / 高 2000，与 dict.tsv 词频同一尺度；gaps 合成次数高于档位值时取合成次数。
# 词	次数	拼音
太卷了	200	tai juan le
精神内耗	200	jing shen nei hao
摆烂	2000	bai lan
开摆	200	kai bai
破防了	2000	po fang le
破大防	200	po da fang
社死	2000	she si
社死现场	200	she si xian chang
蚌埠住了	200	beng bu zhu le
绷不住	2000	beng bu zhu
松弛感	200	song chi gan
班味	200	ban wei
发疯文学	200	fa feng wen xue
发癫	2000	fa dian
心态崩了	2000	xin tai beng le
心态爆炸	200	xin tai bao zha
麻了	2000	ma le
人麻了	2000	ren ma le
卷王	200	juan wang
卷不动	200	juan bu dong
意难平	200	yi nan ping
寄了	2000	ji le
润了	200	run le
我裂开	200	wo lie kai
血压升高	200	xue ya sheng gao
电子榨菜	200	dian zi zha cai
报复性熬夜	200	bao fu xing ao ye
早八	200	zao ba
钝感力	20	dun gan li
无语子	20	wu yu zi
丧文化	64	sang wen hua
情绪价值	2000	qing xu jia zhi
情绪稳定	200	qing xu wen ding
边界感	200	bian jie gan
仪式感	2000	yi shi gan
氛围感	2000	fen wei gan
高级感	200	gao ji gan
戒断反应	20	jie duan fan ying
心眼子	200	xin yan zi
求生欲	418	qiu sheng yu
接好运	200	jie hao yun
祛魅	200	qu mei
离大谱	200	li da pu
搞抽象	200	gao chou xiang
格局小了	200	ge ju xiao le
格局打开	200	ge ju da kai
显眼包	200	xian yan bao
绝绝子	200	jue jue zi
我服了	200	wo fu le
太懂了	246	tai dong le
典中典	200	dian zhong dian
急了	1048	ji le
笑不活了	200	xiao bu huo le
尊嘟假嘟	200	zun du jia du
爱了爱了	200	ai le ai le
狠狠共情	200	hen hen gong qing
大冤种	200	da yuan zhong
冤种	200	yuan zhong
整不会了	200	zheng bu hui le
给我整不会了	200	gei wo zheng bu hui le
好好好	6362	hao hao hao
一整个大无语	200	yi zheng ge da wu yu
大无语	200	da wu yu
神仙打架	200	shen xian da jia
人间清醒	200	ren jian qing xing
名场面	200	ming chang mian
前方高能	200	qian fang gao neng
智商税	2000	zhi shang shui
杀疯了	200	sha feng le
太顶了	200	tai ding le
顶不住	200	ding bu zhu
遭不住	200	zao bu zhu
这波	2000	zhe bo
属于是	2000	shu yu shi
纯纯的	200	chun chun de
问题不大	2000	wen ti bu da
稳了	652	wen le
神操作	200	shen cao zuo
迷惑行为	200	mi huo xing wei
土味情话	200	tu wei qing hua
爹味	200	die wei
爆改	200	bao gai
颜值天花板	200	yan zhi tian hua ban
有内味了	200	you nei wei le
那味儿	200	na wei er
上价值	200	shang jia zhi
硬核	2000	ying he
硬控	200	ying kong
拉胯	200	la kua
爆锤	200	bao chui
求锤得锤	200	qiu chui de chui
真香定律	200	zhen xiang ding lv
血亏	200	xue kui
血赚	200	xue zhuan
入股不亏	200	ru gu bu kui
不愧是你	200	bu kui shi ni
合理怀疑	200	he li huai yi
爷青回	200	ye qing hui
爷青结	20	ye qing jie
雀食	200	que shi
耗子尾汁	20	hao zi wei zhi
夺笋	20	duo sun
废话文学	200	fei hua wen xue
听君一席话	20	ting jun yi xi hua
有一说一	2000	you yi shuo yi
懂的都懂	200	dong de dou dong
不懂就问	200	bu dong jiu wen
彩虹屁	200	cai hong pi
夸夸	1501	kua kua
喷子	200	pen zi
细品	200	xi pin
有点东西	200	you dian dong xi
没苦硬吃	200	mei ku ying chi
没福硬享	20	mei fu ying xiang
泼天富贵	200	po tian fu gui
上强度	200	shang qiang du
嘴替	200	zui ti
搭子	2000	da zi
饭搭子	200	fan da zi
社牛	2000	she niu
社恐	2000	she kong
纯爱战士	200	chun ai zhan shi
恋爱脑	2000	lian ai nao
打工人	2000	da gong ren
干饭人	200	gan fan ren
小镇做题家	200	xiao zhen zuo ti jia
工具人	200	gong ju ren
背锅侠	200	bei guo xia
舔狗	200	tian gou
普信	200	pu xin
凡尔赛	2990	fan er sai
家人们	2000	jia ren men
姐妹们	703	jie mei men
兄弟们	1065	xiong di men
老登	200	lao deng
乐子人	200	le zi ren
懂王	20	dong wang
顶流	200	ding liu
糊了	1066	hu le
黑粉	200	hei fen
铲屎官	200	chan shi guan
精神小伙	20	jing shen xiao huo
老六	212	lao liu
特种兵旅游	200	te zhong bing lv you
鼠鼠	109	shu shu
细狗	20	xi gou
白嫖	2000	bai piao
搞钱	2000	gao qian
月光族	200	yue guang zu
精致穷	20	jing zhi qiong
氛围组	20	fen wei zu
蹲一个	200	dun yi ge
蹲后续	200	dun hou xu
拉踩	200	la cai
塌房	2000	ta fang
掉马	200	diao ma
挂人	200	gua ren
开盒	200	kai he
整活	2000	zheng huo
整顿职场	200	zheng dun zhi chang
拔草	200	ba cao
踩雷	200	cai lei
避雷	200	bi lei
踩坑	200	cai keng
填坑	200	tian keng
薅羊毛	2000	hao yang mao
砍一刀	200	kan yi dao
平替	2000	ping ti
断舍离	200	duan she li
冲冲冲	200	chong chong chong
磕糖	200	ke tang
锁死	412	suo si
退坑	200	tui keng
弃坑	203	qi keng
追更	200	zhui geng
断更	200	duan geng
二刷	767	er shua
刷到	2000	shua dao
划走	200	hua zou
开麦	200	kai mai
闭麦	200	bi mai
上链接	200	shang lian jie
代餐	200	dai can
破圈	200	po quan
翻红	200	fan hong
糊穿地心	20	hu chuan di xin
起号	200	qi hao
掉粉	200	diao fen
云吸猫	200	yun xi mao
爆肝	214	bao gan
肝不动	200	gan bu dong
已读不回	2000	yi du bu hui
已读乱回	200	yi du luan hui
鸽了	2000	ge le
咕咕咕	251	gu gu gu
尬住	200	ga zhu
尴尬癌	200	gan ga ai
颗粒度	2000	ke li du
抓手	2000	zhua shou
干就完了	200	gan jiu wan le
溜了溜了	200	liu le liu le
退退退	20	tui tui tui
吃席	36	chi xi
断亲	20	duan qin
狗头保命	27	gou tou bao ming
啊这	2885	a zhe
天塌了	2000	tian ta le
塌了	573	ta le
我哭死	200	wo ku si
我悟了	200	wo wo le
悟了	200	wu le
主打一个	2000	zhu da yi ge
真的会谢	200	zhen de hui xie
求求了	200	qiu qiu le
拿来吧你	20	na lai ba ni
谁懂啊	200	shui dong a
家人们谁懂啊	200	jia ren men shui dong a
太牛了	200	tai niu le
牛啊	660	niu a
奥利给	200	ao li gei
双厨狂喜	20	shuang chu kuang xi
心巴	20	xin ba
摸会鱼	2000	mo hui yu
摸会儿鱼	2000	mo hui er yu
摸会儿	200	mo hui er
歇会儿	2000	xie hui er
歇会	2000	xie hui
歇会儿脚	20	xie hui er jiao
等会儿	2000	deng hui er
等会儿说	200	deng hui er shuo
等会说	200	deng hui shuo
等会儿再说	2000	deng hui er zai shuo
聊会儿	200	liao hui er
