# 词	编码	人工权重	分类	类型	实体	来源	核对日期
CPU限制	cpuxianzhi	30	可靠运维	mixed	CPU限制	curated	2026-09-17
三方合并	san fang he bing	30	版本协作	term	三方合并	curated	2026-09-17
上下文交接	shang xia wen jiao jie	30	代理开发	term	上下文交接	curated	2026-09-17
上下文召回率	shang xia wen zhao hui lv	30	向量检索	term	上下文召回率	curated	2026-09-17
上下文映射	shang xia wen ying she	30	架构设计	term	上下文映射	curated	2026-09-17
上下文污染	shang xia wen wu ran	30	代理开发	term	上下文污染	curated	2026-09-17
上下文泄漏	shang xia wen xie lou	30	代理开发	term	上下文泄漏	curated	2026-09-17
上下文相关性	shang xia wen xiang guan xing	30	向量检索	term	上下文相关性	curated	2026-09-17
上下文精确率	shang xia wen jing que lv	30	向量检索	term	上下文精确率	curated	2026-09-17
上下文菜单	shang xia wen cai dan	30	前端交互	term	上下文菜单	curated	2026-09-17
上屏	shang ping	30	桌面移动	term	上屏	curated	2026-09-17
上游分支	shang you fen zhi	30	版本协作	term	上游分支	curated	2026-09-17
下载失败	xia zai shi bai	30	开发操作	term	下载失败	curated	2026-09-17
不可重复读	bu ke chong fu du	30	后端数据	term	不可重复读	curated	2026-09-17
不提交无关文件	bu ti jiao wu guan wen jian	30	代理开发	term	不提交无关文件	curated	2026-09-17
不稳定测试	bu wen ding ce shi	30	测试验收	term	不稳定测试	curated	2026-09-17
不覆盖用户改动	bu fu gai yong hu gai dong	30	代理开发	term	不覆盖用户改动	curated	2026-09-17
业务不变量	ye wu bu bian liang	30	架构设计	term	业务不变量	curated	2026-09-17
业务场景	ye wu chang jing	30	项目协作	term	业务场景	curated	2026-09-17
业务实体	ye wu shi ti	30	项目协作	term	业务实体	curated	2026-09-17
业务对象	ye wu dui xiang	30	项目协作	term	业务对象	curated	2026-09-17
业务指标	ye wu zhi biao	30	项目协作	term	业务指标	curated	2026-09-17
业务术语	ye wu shu yu	30	项目协作	term	业务术语	curated	2026-09-17
业务校验	ye wu jiao yan	30	后端数据	term	业务校验	curated	2026-09-17
业务流程	ye wu liu cheng	30	项目协作	term	业务流程	curated	2026-09-17
业务约束	ye wu yue shu	30	项目协作	term	业务约束	curated	2026-09-17
业务规则	ye wu gui ze	30	项目协作	term	业务规则	curated	2026-09-17
业务边界	ye wu bian jie	30	项目协作	term	业务边界	curated	2026-09-17
业务需求	ye wu xu qiu	30	项目协作	term	业务需求	curated	2026-09-17
业务验证	ye wu yan zheng	30	项目协作	term	业务验证	curated	2026-09-17
丢弃改动	diu qi gai dong	30	版本协作	term	丢弃改动	curated	2026-09-17
中文乱码	zhong wen luan ma	30	后端数据	term	中文乱码	curated	2026-09-17
中文候选	zhong wen hou xuan	30	桌面移动	term	中文候选	curated	2026-09-17
中间状态	zhong jian zhuang tai	30	架构设计	term	中间状态	curated	2026-09-17
串行任务	chuan xing ren wu	30	代理开发	term	串行任务	curated	2026-09-17
串行化隔离	chuan xing hua ge li	30	后端数据	term	串行化隔离	curated	2026-09-17
串行执行	chuan xing zhi xing	30	代理开发	term	串行执行	curated	2026-09-17
临时修复	lin shi xiu fu	30	排障修复	term	临时修复	curated	2026-09-17
临时分支	lin shi fen zhi	30	版本协作	term	临时分支	curated	2026-09-17
主从复制	zhu cong fu zhi	30	后端数据	term	主从复制	curated	2026-09-17
主代理	zhu dai li	30	代理开发	term	主代理	curated	2026-09-17
主分支	zhu fen zhi	30	版本协作	term	主分支	curated	2026-09-17
主干分支	zhu gan fen zhi	30	版本协作	term	主干分支	curated	2026-09-17
主执行器	zhu zhi xing qi	30	桌面移动	term	主执行器	curated	2026-09-17
主线程	zhu xian cheng	30	桌面移动	term	主线程	curated	2026-09-17
主线程阻塞	zhu xian cheng zu se	30	排障修复	term	主线程阻塞	curated	2026-09-17
主进程	zhu jin cheng	30	桌面移动	term	主进程	curated	2026-09-17
主题切换	zhu ti qie huan	30	前端交互	term	主题切换	curated	2026-09-17
乐观回滚	le guan hui gun	30	前端交互	term	乐观回滚	curated	2026-09-17
乐观更新	le guan geng xin	30	前端交互	term	乐观更新	curated	2026-09-17
乐观锁	le guan suo	30	后端数据	term	乐观锁	curated	2026-09-17
书签权限	shu qian quan xian	30	桌面移动	term	书签权限	curated	2026-09-17
事件冒泡	shi jian mao pao	30	前端交互	term	事件冒泡	curated	2026-09-17
事件发布	shi jian fa bu	30	架构设计	term	事件发布	curated	2026-09-17
事件取消	shi jian qu xiao	30	前端交互	term	事件取消	curated	2026-09-17
