# 词	编码	人工权重	分类	类型	实体	来源	核对日期
.NET	dotnet	40	语言运行时	alias	.NET	development-names	2026-09-17
.NET Core	dotnetcore	40	语言运行时	alias	.NET Core	development-names	2026-09-17
.dockerignore	dockerignore	40	文件配置	alias	.dockerignore	development-names	2026-09-17
.editorconfig	editorconfig	40	文件配置	alias	.editorconfig	development-names	2026-09-17
.env	envfile	40	文件配置	alias	.env	development-names	2026-09-17
.env.example	envexample	40	文件配置	alias	.env.example	development-names	2026-09-17
.env.local	envlocal	40	文件配置	alias	.env.local	development-names	2026-09-17
.env.production	envproduction	40	文件配置	alias	.env.production	development-names	2026-09-17
.eslintrc.json	eslintrcjson	40	文件配置	alias	.eslintrc.json	development-names	2026-09-17
.gitattributes	gitattributes	40	文件配置	alias	.gitattributes	development-names	2026-09-17
.gitignore	gitignore	40	文件配置	alias	.gitignore	development-names	2026-09-17
.gitmodules	gitmodules	40	文件配置	alias	.gitmodules	development-names	2026-09-17
.node-version	nodeversion	40	文件配置	alias	.node-version	development-names	2026-09-17
.nvmrc	nvmrc	40	文件配置	alias	.nvmrc	development-names	2026-09-17
.prettierignore	prettierignore	40	文件配置	alias	.prettierignore	development-names	2026-09-17
.prettierrc	prettierrc	40	文件配置	alias	.prettierrc	development-names	2026-09-17
.python-version	pythonversion	40	文件配置	alias	.python-version	development-names	2026-09-17
.tool-versions	toolversions	40	文件配置	alias	.tool-versions	development-names	2026-09-17
ABAC	abac	40	接口协议	english	ABAC	development-names	2026-09-17
ABI	abi	40	语言运行时	english	ABI	development-names	2026-09-17
ACL	acl	40	接口协议	english	ACL	development-names	2026-09-17
ADB	adb	40	桌面移动	english	ADB	development-names	2026-09-17
AES	aes	40	接口协议	english	AES	development-names	2026-09-17
AFL	afl	40	测试质量	english	AFL	development-names	2026-09-17
AGENTS.md	agentsmd	40	文件配置	english	AGENTS.md	development-names	2026-09-17
AMQP	amqp	40	部署运维	english	AMQP	development-names	2026-09-17
AOT	aot	40	语言运行时	english	AOT	development-names	2026-09-17
APISIX	apisix	40	部署运维	english	APISIX	development-names	2026-09-17
