# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
AA制	a a zhi	8000
API	a p i	8000
APP	a p p	2000
A站	a zhan	1500
A股	a gu	5000
BE	b e	2000
BGM	b g m	2000
B站	b zhan	40000
B股	b gu	300
CD	c d	2000
CEO	c e o	8000
CI	c i	8000
CP	c p	8000
CPDD	c p d d	300
CPU	c p u	2000
CTO	c t o	2000
C盘	c pan	8000
DAU	d a u	2000
DDL	d d l	8000
D盘	d pan	4000
ETC	e t c	2000
E盘	e pan	2000
F盘	f pan	300
GG	g g	2000
GMV	g m v	2000
G盘	g pan	300
HR	h r	8000
H股	h gu	300
KPI	k p i	8000
K歌	k ge	2000
MAU	m a u	2000
MBTI	m b t i	2000
MVP	m v p	2000
NPC	n p c	2000
OA	o a	2000
OKR	o k r	8000
OMG	o m g	2000
P0	p 0	8000
P1	p 1	8000
PK	p k	2000
PM	p m	8000
PPT	p p t	8000
PR	p r	8000
PRD	p r d	8000
PUA	p u a	8000
PV	p v	2000
P图	p tu	2000
QA	q a	8000
QPS	q p s	2000
RD	r d	2000
ROI	r o i	2000
SDK	s d k	8000
SOP	s o p	2000
TODO	t o d o	8000
T台	t tai	1500
T恤	t xu	7000
UI	u i	8000
UV	u v	2000
U盘	you pan	9000
VIP	v i p	2000
X光	x guang	800
X射线	x she xian	2000
awsl	a w s l	2000
battle	b a t t l e	2000
bug	b u g	8000
carry	c a r r y	2000
cos	c o s	2000
crush	c r u s h	2000
cue	c u e	8000
dddd	d d d d	300
demo	d e m o	8000
diss	d i s s	2000
emo	e m o	8000
emo了	e m o le	2000
e人	e ren	8000
flag	f l a g	8000
get	g e t	8000
hold住	h o l d zhu	2000
i人	i ren	8000
low	l o w	2000
nbcs	n b c s	300
nice	n i c e	2000
ojbk	o j b k	300
pick	p i c k	2000
p图	p tu	8000
review	r e v i e w	8000
rua	r u a	300
solo	s o l o	2000
vlog	v l o g	2000
xdm	x d m	2000
xswl	x s w l	2000
yyds	y y d s	8000
yygq	y y g q	2000
㑇	zhou	3
㑊	yi	3
㕮	fu	1
㘎	han	3
㙍	duo	2
㙘	yao	1
㙦	xie	1
㛃	jie	1
㛚	tong	3
㛹	pian	1
㟃	si	1
㠇	jiu	3
㠓	meng	3
㤘	zhou	10
㥄	ling	32
㧐	song	10
㧑	hui	203
㧟	kuai	3
㫰	lang	2
㬊	huan	2
㬎	xian	44
㬚	che	1
㭎	gang	164
㭕	qu	4
㮾	lang	37
㰀	li	3
㳇	fu	3
㳘	chong	8
㳚	xu	8
㴔	ji	3
㴔	xi	1
㵐	jue	1
㶲	yong	48
㸆	kao	2
㸌	huo	4
㺄	yu	1
㻬	tu	4
㽏	gan	18
㿠	huang	3
䁖	lou	1
䂮	lve	25
䃅	di	445
䃎	zha	2
䅟	can	25
䌹	jiong	142
䎃	ran	9
䎖	zeng	10
䏝	zhuan	7
䏡	shi	3
䏲	die	1
䏲	ti	21
䐃	jun	1
䓖	qiong	5
䓛	qu	11
䓨	ying	156
䓫	qi	2
䓬	zhuo	504
䗖	di	2
䗛	xiu	360
䗪	zhe	3
䗴	ting	22
䜣	xin	725
䝙	chu	52
䢺	chu	6
䢼	gong	2
䣘	tang	3
䥽	po	12
䦃	zhuo	1
䲟	yin	51
䲠	chun	101
䲢	teng	384
䴓	shi	189
䴔	jiao	7
䴕	lie	352
䴖	jing	4
䴗	ju	2
䴘	ti	278
䴙	pi	263
䶮	yan	381
一	yi	2389106
一一	yi yi	6482
一丁点儿	yi ding dian er	68
一万	yi wan	10206
一丈	yi zhang	791
一上午	yi shang wu	1432
一下	yi xia	174383
一下你	yi xia ni	4863
一下午	yi xia wu	3293
一下吗	yi xia ma	6312
一下吧	yi xia ba	3668
一下子	yi xia zi	4813
一下就	yi xia jiu	5422
一下我	yi xia wo	4830
一不小心	yi bu xiao xin	10
一专多能	yi zhuan duo neng	10
一世	yi shi	39672
一丘之貉	yi qiu zhi he	74
一丝一毫	yi si yi hao	89
一丝不挂	yi si bu gua	109
一丝不苟	yi si bu gou	254
一个	yi ge	1277963
一个个	yi ge ge	3510
一个人	yi ge ren	85617
一个人去	yi ge ren qu	296
一个人在	yi ge ren zai	1580
一个人的	yi ge ren de	4481
一个劲	yi ge jin	512
一个劲儿	yi ge jin er	162
一个地方	yi ge di fang	3973
一个多	yi ge duo	6475
一个多月	yi ge duo yue	32
一个大	yi ge da	6191
一个好	yi ge hao	4219
一个字	yi ge zi	4550
一个小	yi ge xiao	9510
一个小时	yi ge xiao shi	6040
一个巴掌拍不响	yi ge ba zhang pai bu xiang	236
一个心眼儿	yi ge xin yan er	1
一个我	yi ge wo	2259
一个星期	yi ge xing qi	6301
一个是	yi ge shi	5284
一个月	yi ge yue	30909
一个月了	yi ge yue le	2129
一个朋友	yi ge peng you	2334
一个样	yi ge yang	957
一个赞	yi ge zan	953
一个非	yi ge fei	15141
一举	yi ju	2975
一举一动	yi ju yi dong	661
一举两得	yi ju liang de	223
