# 微明领域词库：财经，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一德	yi de	5
一本通	yi ben tong	4
一汽夏利	yi qi xia li	21
一汽富维	yi qi fu wei	4
一汽金杯	yi qi jin bei	3
七乐彩	qi le cai	7
七星电子	qi xing dian zi	5
万丰奥威	wan feng ao wei	2
万利达	wan li da	4
万力达	wan li da	10
万向德农	wan xiang de nong	1
万威国际	wan wei guo ji	8
万家乐	wan jia le	15
万家基金	wan jia ji jin	3
万年薪	wan nian xin	10
万昌科技	wan chang ke ji	1
万泽股份	wan ze gu fen	1
万象集团	wan xiang ji tuan	3
万通地产	wan tong di chan	6
万邦达	wan bang da	8
万顺昌	wan shun chang	11
三丰智能	san feng zhi neng	5
三五互联	san wu hu lian	1
三元达	san yuan da	2
三全食品	san quan shi pin	18
三力	san li	9
三力士	san li shi	6
三安光电	san an guang dian	7
三房巷	san fang xiang	4
三星电气	san xing dian qi	1
三普	san pu	8
三普药业	san pu yao ye	2
三木集团	san mu ji tuan	2
三泰电子	san tai dian zi	1
三特索道	san te suo dao	5
三维丝	san wei si	5
三联商社	san lian shang she	8
上提	shang ti	4
上月	shang yue	17
上海九百	shang hai jiu bai	10
上海佳豪	shang hai jia hao	8
上海凤凰	shang hai feng huang	9
上海凯宝	shang hai kai bao	1
上海新梅	shang hai xin mei	3
上海普天	shang hai pu tian	5
上海有色金属网	shang hai you se jin shu wang	2
上海机场	shang hai ji chang	9
上海机电	shang hai ji dian	33
上海梅林	shang hai mei lin	19
上海港机	shang hai gang ji	1
上海物贸	shang hai wu mao	4
上海电力	shang hai dian li	4
上海电气	shang hai dian qi	3
上海科技	shang hai ke ji	3
上海绿新	shang hai lv xin	4
上海莱士	shang hai lai shi	1
上海证券	shang hai zheng quan	2
上海证券报	shang hai zheng quan bao	20
上海证大	shang hai zheng da	29
上海贝岭	shang hai bei ling	6
上海辅仁	shang hai fu ren	1
上海金融	shang hai jin rong	2
上海金融学院	shang hai jin rong xue yuan	27
上海金陵	shang hai jin ling	3
上海钢联	shang hai gang lian	3
上电	shang dian	4
上破	shang po	6
上证	shang zheng	14
上证综指	shang zheng zong zhi	30
上证股	shang zheng gu	5
下破	xia po	7
下轨	xia gui	8
业务线	ye wu xian	8
东信	dong xin	10
东光集团	dong guang ji tuan	4
东华科技	dong hua ke ji	2
东华能源	dong hua neng yuan	2
东华软件	dong hua ruan jian	1
东吴嘉禾	dong wu jia he	5
东安黑豹	dong an hei bao	2
东富龙	dong fu long	1
东控	dong kong	4
东方保本	dong fang bao ben	3
东方国信	dong fang guo xin	7
东方电机	dong fang dian ji	16
东方通信	dong fang tong xin	10
东方金钰	dong fang jin yu	18
东方银星	dong fang yin xing	3
东方银行	dong fang yin hang	4
东方锆业	dong fang gao ye	1
东方雨虹	dong fang yu hong	6
东源电器	dong yuan dian qi	3
东百集团	dong bai ji tuan	2
东碳	dong tan	2
东软集团	dong ruan ji tuan	33
东锅	dong guo	5
东阿阿胶	dong e e jiao	36
东风集团	dong feng ji tuan	12
个股	ge gu	11
中侨	zhong qiao	9
中信实业银行	zhong xin shi ye yin hang	16
中信控股	zhong xin kong gu	3
中信海直	zhong xin hai zhi	16
中创信测	zhong chuang xin ce	2
中化	zhong hua	11
中化国际	zhong hua guo ji	12
中化岩土	zhong hua yan tu	1
中北	zhong bei	11
中华工商时报	zhong hua gong shang shi bao	22
中华网	zhong hua wang	12
中南重工	zhong nan zhong gong	8
中原信托	zhong yuan xin tuo	3
中原特钢	zhong yuan te gang	3
中国人民建设银行	zhong guo ren min jian she yin hang	29
中国信达资产管理公司	zhong guo xin da zi chan guan li gong si	8
中国凤凰	zhong guo feng huang	3
中国医疗	zhong guo yi liao	2
中国商报	zhong guo shang bao	18
中国国航	zhong guo guo hang	17
中国国贸	zhong guo guo mao	3
中国国际信托投资公司	zhong guo guo ji xin tuo tou zi gong si	3
中国国际招标网	zhong guo guo ji zhao biao wang	1
中国太保	zhong guo tai bao	17
中国太平	zhong guo tai ping	6
中国宝安	zhong guo bao an	9
中国平安	zhong guo ping an	4
中国忠旺	zhong guo zhong wang	9
中国报告大厅	zhong guo bao gao da ting	2
中国有色金属报	zhong guo you se jin shu bao	1
中国服装	zhong guo fu zhuang	2
中国民营经济周刊	zhong guo min ying jing ji zhou kan	2
中国水业集团	zhong guo shui ye ji tuan	2
中国水务	zhong guo shui wu	35
中国消防	zhong guo xiao fang	2
中国玻璃	zhong guo bo li	2
中国矿业	zhong guo kuang ye	6
中国科健股份有限公司	zhong guo ke jian gu fen you xian gong si	3
中国管理传播网	zhong guo guan li chuan bo wang	2
中国经济周刊	zhong guo jing ji zhou kan	31
中国经济报告	zhong guo jing ji bao gao	2
中国经济时报	zhong guo jing ji shi bao	36
中国经营报	zhong guo jing ying bao	40
中国联合商报	zhong guo lian he shang bao	4
中国股市	zhong guo gu shi	2
中国西电	zhong guo xi dian	12
中国证券报	zhong guo zheng quan bao	29
中国财富	zhong guo cai fu	6
中国财经报	zhong guo cai jing bao	5
