# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一真	yi zhen	8
丁义	ding yi	5
丁于	ding yu	6
丁佛言	ding fo yan	13
丁元公	ding yuan gong	3
丁军	ding jun	7
丁原	ding yuan	5
丁子峻	ding zi jun	39
丁子江	ding zi jiang	3
丁宝臣	ding bao chen	14
丁建华	ding jian hua	27
丁德隆	ding de long	39
丁志成	ding zhi cheng	3
丁文琪	ding wen qi	30
丁文祥	ding wen xiang	3
丁斐	ding fei	21
丁是娥	ding shi e	17
丁晏	ding yan	22
丁晓兵	ding xiao bing	10
丁晓峰	ding xiao feng	5
丁果仙	ding guo xian	10
丁汀	ding ting	2
丁泰	ding tai	3
丁济万	ding ji wan	1
丁炳权	ding bing quan	8
丁然	ding ran	5
丁瓒	ding zan	20
丁申	ding shen	11
丁立	ding li	6
丁立诚	ding li cheng	3
丁管	ding guan	2
丁耀亢	ding yao kang	23
丁艳燕	ding yan yan	4
丁芸	ding yun	12
丁薇	ding wei	24
丁轶	ding yi	1
丁道衡	ding dao heng	14
丁静怡	ding jing yi	4
七原秋也	qi yuan qiu ye	6
七海奈奈	qi hai nai nai	3
万古蟾	wan gu chan	35
万承风	wan cheng feng	11
万斯大	wan si da	25
万春林	wan chun lin	2
万松龄	wan song ling	4
万正色	wan zheng se	33
万永福	wan yong fu	1
万籁鸣	wan lai ming	49
万经	wan jing	9
万美汐	wan mei xi	8
万表	wan biao	6
万超尘	wan chao chen	14
万适	wan shi	5
三浦研一	san pu yan yi	9
上原多香子	shang yuan duo xiang zi	45
上原美优	shang yuan mei you	14
上官周	shang guan zhou	10
上洛	shang luo	3
上睿	shang rui	3
不破万作	bu po wan zuo	44
不韦	bu wei	3
丘岳	qiu yue	23
丘建	qiu jian	3
丘志广	qiu zhi guang	1
丘集	qiu ji	2
东仪秀树	dong yi xiu shu	28
东方涂钦	dong fang tu qin	4
东方闻樱	dong fang wen ying	10
东曹属	dong cao shu	10
东曹掾	dong cao yuan	33
东海林	dong hai lin	3
严从	yan cong	7
严健	yan jian	2
严如熤	yan ru yi	7
严岳	yan yue	2
严律南	yan lv nan	5
严恒	yan heng	3
严政	yan zheng	27
严文井	yan wen jing	34
严景耀	yan jing yao	18
严正花	yan zheng hua	15
严涛	yan tao	1
严淑明	yan shu ming	1
严澄	yan cheng	3
严独鹤	yan du he	15
严纲	yan gang	20
严绳孙	yan sheng sun	18
严蔚	yan wei	5
严衍	yan yan	19
严裕棠	yan yu tang	8
严观	yan guan	12
严辰	yan chen	14
严颢	yan hao	3
中丁	zhong ding	3
中丘	zhong qiu	4
中友子	zhong you zi	29
中宿	zhong su	5
中岛京子	zhong dao jing zi	28
中岛健藏	zhong dao jian cang	3
中村中	zhong cun zhong	3
中谢	zhong xie	6
中野宽也	zhong ye kuan ye	3
中野良子	zhong ye liang zi	13
