# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一不做二不休	yi bu zuo er bu xiu	24
一丘一壑	yi qiu yi he	7
一个半个	yi ge ban ge	7
一个萝卜一个坑	yi ge luo bo yi ge keng	28
一举成功	yi ju cheng gong	30
一人之下万人之上	yi ren zhi xia wan ren zhi shang	23
一人做事一人当	yi ren zuo shi yi ren dang	16
一人得道	yi ren de dao	13
一人得道鸡犬升天	yi ren de dao ji quan sheng tian	4
一介书生	yi jie shu sheng	25
一代不如一代	yi dai bu ru yi dai	33
一代楷模	yi dai kai mo	6
一传十十传百	yi chuan shi shi chuan bai	18
一元复始	yi yuan fu shi	8
一分一毫	yi fen yi hao	46
一分耕耘一分收获	yi fen geng yun yi fen shou huo	20
一则以喜	yi ze yi xi	7
一动不如一静	yi dong bu ru yi jing	5
一发而不可收拾	yi fa er bu ke shou shi	6
一口一声	yi kou yi sheng	6
一口吃个胖子	yi kou chi ge pang zi	8
一叶障目	yi ye zhang mu	31
一叶障目不见泰山	yi ye zhang mu bu jian tai shan	3
一命归西	yi ming gui xi	2
一唱三叹	yi chang san tan	17
一回生两回熟	yi hui sheng liang hui shu	11
一块石头落了地	yi kuai shi tou luo liao di	1
一块石头落地	yi kuai shi tou luo di	2
一天一地	yi tian yi di	6
一夫当关万夫莫开	yi fu dang guan wan fu mo kai	9
一字之师	yi zi zhi shi	8
一字千钧	yi zi qian jun	6
一官半职	yi guan ban zhi	34
一寸光阴一寸金	yi cun guang yin yi cun jin	23
一己之私	yi ji zhi si	45
一己之见	yi ji zhi jian	28
一年之计在于春	yi nian zhi ji zai yu chun	49
一往直前	yi wang zhi qian	23
一悲一喜	yi bei yi xi	2
一手一脚	yi shou yi jiao	17
一手包揽	yi shou bao lan	4
一抔黄土	yi pou huang tu	7
一报还一报	yi bao huan yi bao	25
一拥而入	yi yong er ru	12
一掷百万	yi zhi bai wan	1
一文钱难倒英雄汉	yi wen qian nan dao ying xiong han	5
一无可取	yi wu ke qu	5
一无所成	yi wu suo cheng	16
一无所长	yi wu suo chang	9
一日三省	yi ri san xing	1
一日之计在于晨	yi ri zhi ji zai yu chen	6
一日夫妻百日恩	yi ri fu qi bai ri en	19
一时三刻	yi shi san ke	6
一星半点	yi xing ban dian	46
一是一二是二	yi shi yi er shi er	1
一曝十寒	yi pu shi han	1
一望而知	yi wang er zhi	16
一朝天子一朝臣	yi zhao tian zi yi zhao chen	3
一朝权在手	yi zhao quan zai shou	1
一本万利	yi ben wan li	15
一条道走到黑	yi tiao dao zou dao hei	49
一来一往	yi lai yi wang	37
一枕黄粱	yi zhen huang liang	2
一波未平	yi bo wei ping	13
一波未平一波又起	yi bo wei ping yi bo you qi	41
一片丹心	yi pian dan xin	45
一片焦土	yi pian jiao tu	32
一物不知	yi wu bu zhi	3
一瓣心香	yi ban xin xiang	6
一男半女	yi nan ban nv	5
一画开天	yi hua kai tian	5
一着不慎	yi zhao bu shen	1
一着不慎满盘皆输	yi zhao bu shen man pan jie shu	6
一碧万顷	yi bi wan qing	4
一笑一颦	yi xiao yi pin	7
一笑了之	yi xiao liao zhi	29
一笔抹煞	yi bi mo sha	1
一箭之地	yi jian zhi di	7
一箭之遥	yi jian zhi yao	4
一花独放	yi hua du fang	1
一草一木	yi cao yi mu	26
一蟹不如一蟹	yi xie bu ru yi xie	5
一言中的	yi yan zhong di	6
一言兴邦	yi yan xing bang	2
一言既出	yi yan ji chu	26
一语不发	yi yu bu fa	15
一误再误	yi wu zai wu	5
一路货色	yi lu huo se	1
一路风尘	yi lu feng chen	11
一蹴可几	yi cu ke ji	4
一身二任	yi shen er ren	6
一身是胆	yi shen shi dan	9
一问三不知	yi wen san bu zhi	49
一隅之地	yi yu zhi di	5
一鼻子灰	yi bi zi hui	13
丁丁当当	ding ding dang dang	11
丁是丁卯是卯	ding shi ding mao shi mao	2
七尺之躯	qi chi zhi qu	3
七弯八拐	qi wan ba guai	8
七擒七纵	qi qin qi zong	49
七步成诗	qi bu cheng shi	12
七窍流血	qi qiao liu xue	29
七零八散	qi ling ba san	1
万万千千	wan wan qian qian	6
万事俱备只欠东风	wan shi ju bei zhi qian dong feng	15
万变不离其宗	wan bian bu li qi zong	27
万古长存	wan gu chang cun	7
万夫莫开	wan fu mo kai	20
万头攒动	wan tou cuan dong	2
万应灵丹	wan ying ling dan	6
万应灵药	wan ying ling yao	6
万目睽睽	wan mu kui kui	1
万语千言	wan yu qian yan	19
万贯家财	wan guan jia cai	16
万里迢迢	wan li tiao tiao	5
万里鹏程	wan li peng cheng	2
丈二和尚	zhang er he shang	3
丈二和尚摸不着头脑	zhang er he shang mo bu zhao tou nao	10
三三五五	san san wu wu	6
三个臭皮匠	san ge chou pi jiang	24
三人行必有我师	san ren xing bi you wo shi	24
三元及第	san yuan ji di	48
三十六行	san shi liu hang	22
三十年河东	san shi nian he dong	41
三千里江山	san qian li jiang shan	9
三句话不离本行	san ju hua bu li ben hang	1
三宫六院	san gong liu yuan	29
三寸不烂之舌	san cun bu lan zhi she	27
三寸之舌	san cun zhi she	4
三山五岳	san shan wu yue	29
三年五载	san nian wu zai	10
三心两意	san xin liang yi	22
三思后行	san si hou xing	11
三拳两脚	san quan liang jiao	4
三月不知肉味	san yue bu zhi rou wei	9
三朋四友	san peng si you	6
三朝元老	san chao yuan lao	40
三申五令	san shen wu ling	2
三男两女	san nan liang nv	30
三男四女	san nan si nv	14
三省吾身	san xing wu shen	36
三阳开泰	san yang kai tai	13
上下一心	shang xia yi xin	45
上下同心	shang xia tong xin	6
上下同欲	shang xia tong yu	4
上不着天	shang bu zhuo tian	4
上传下达	shang chuan xia da	7
上兵伐谋	shang bing fa mou	6
上天无路	shang tian wu lu	6
上情下达	shang qing xia da	3
上无片瓦	shang wu pian wa	7
上有天堂下有苏杭	shang you tian tang xia you su hang	16
上梁不正下梁歪	shang liang bu zheng xia liang wai	47
上知天文下知地理	shang zhi tian wen xia zhi di li	40
下回分解	xia hui fen jie	40
下情上达	xia qing shang da	3
下笔千言	xia bi qian yan	14
下笔如有神	xia bi ru you shen	17
下自成蹊	xia zi cheng xi	15
下逐客令	xia zhu ke ling	15
不世之功	bu shi zhi gong	6
不为五斗米折腰	bu wei wu dou mi zhe yao	21
不为瓦全	bu wei wa quan	22
不乏先例	bu fa xian li	1
不亢不卑	bu kang bu bei	8
不仁不义	bu ren bu yi	31
不以规矩	bu yi gui ju	2
不值一哂	bu zhi yi shen	3
不值一驳	bu zhi yi bo	11
不入虎穴	bu ru hu xue	13
不入虎穴焉得虎子	bu ru hu xue yan de hu zi	2
不关痛痒	bu guan tong yang	1
不分伯仲	bu fen bo zhong	40
不分彼此	bu fen bi ci	48
不分轩轾	bu fen xuan zhi	42
不到黄河心不死	bu dao huang he xin bu si	3
不厌其详	bu yan qi xiang	2
不古不今	bu gu bu jin	9
不可企及	bu ke qi ji	21
不可偏废	bu ke pian fei	23
不可捉摸	bu ke zhuo mo	35
不可言喻	bu ke yan yu	41
不可言状	bu ke yan zhuang	7
不可限量	bu ke xian liang	23
不吝赐教	bu lin ci jiao	22
不咸不淡	bu xian bu dan	30
不在其位	bu zai qi wei	16
不在其位不谋其政	bu zai qi wei bu mou qi zheng	2
不堪入耳	bu kan ru er	43
不失时机	bu shi shi ji	26
不如归去	bu ru gui qu	21
不安于室	bu an yu shi	9
不容置辩	bu rong zhi bian	2
不差上下	bu cha shang xia	6
不差毫厘	bu cha hao li	4
不干不净	bu gan bu jing	9
不平之鸣	bu ping zhi ming	11
不幸而言中	bu xing er yan zhong	7
不徇私情	bu xun si qing	14
不徐不疾	bu xu bu ji	6
不得其详	bu de qi xiang	3
不忍释卷	bu ren shi juan	2
不怕一万就怕万一	bu pa yi wan jiu pa wan yi	32
不情之请	bu qing zhi qing	8
不惜工本	bu xi gong ben	28
不改其乐	bu gai qi le	4
不教而诛	bu jiao er zhu	6
不敢越雷池一步	bu gan yue lei chi yi bu	8
不敢问津	bu gan wen jin	3
不服水土	bu fu shui tu	13
不欺暗室	bu qi an shi	4
不死不活	bu si bu huo	3
不求有功	bu qiu you gong	7
不求有功但求无过	bu qiu you gong dan qiu wu guo	1
不求闻达	bu qiu wen da	17
不测之忧	bu ce zhi you	6
不测风云	bu ce feng yun	3
不甘后人	bu gan hou ren	8
不留余地	bu liu yu di	14
不疾不徐	bu ji bu xu	17
不登大雅之堂	bu deng da ya zhi tang	9
不相为谋	bu xiang wei mou	38
不看僧面看佛面	bu kan seng mian kan fo mian	1
不矜细行	bu jin xi xing	2
不知下落	bu zhi xia luo	43
不知其可	bu zhi qi ke	1
不知其详	bu zhi qi xiang	3
不知凡几	bu zhi fan ji	15
不知怎的	bu zhi zen de	45
不知所以	bu zhi suo yi	40
不知所言	bu zhi suo yan	11
不知有汉	bu zhi you han	10
不知深浅	bu zhi shen qian	7
不知老之将至	bu zhi lao zhi jiang zhi	3
不知肉味	bu zhi rou wei	5
不知轻重	bu zhi qing zhong	19
不知进退	bu zhi jin tui	11
不破不立	bu po bu li	28
不立文字	bu li wen zi	25
不系之舟	bu xi zhi zhou	2
不肖子孙	bu xiao zi sun	11
不能登大雅之堂	bu neng deng da ya zhi tang	7
不能自主	bu neng zi zhu	38
不自由毋宁死	bu zi you wu ning si	18
不舍昼夜	bu she zhou ye	31
不虞之誉	bu yu zhi yu	5
不见兔子不撒鹰	bu jian tu zi bu sa ying	6
不见棺材不掉泪	bu jian guan cai bu diao lei	15
不见棺材不落泪	bu jian guan cai bu luo lei	18
不言不语	bu yan bu yu	32
不识大体	bu shi da ti	22
不识好歹	bu shi hao dai	16
不识庐山真面目	bu shi lu shan zhen mian mu	26
不谋其政	bu mou qi zheng	5
不贪为宝	bu tan wei bao	6
不越雷池	bu yue lei chi	2
不足为外人道	bu zu wei wai ren dao	4
不足为据	bu zu wei ju	7
不足为虑	bu zu wei lv	19
不足为道	bu zu wei dao	6
不辞劳苦	bu ci lao ku	40
不辨真伪	bu bian zhen wei	2
不进则退	bu jin ze tui	30
不远万里	bu yuan wan li	25
不违农时	bu wei nong shi	2
不避艰险	bu bi jian xian	12
不问青红皂白	bu wen qing hong zao bai	12
不露声色	bu lu sheng se	11
不露锋芒	bu lu feng mang	7
不顾大局	bu gu da ju	18
不顾死活	bu gu si huo	5
不预则废	bu yu ze fei	2
与人方便	yu ren fang bian	14
与人方便自己方便	yu ren fang bian zi ji fang bian	6
与时偕行	yu shi xie xing	2
与民更始	yu min geng shi	6
丑态毕露	chou tai bi lu	7
专门利人	zhuan men li ren	5
世代书香	shi dai shu xiang	21
世态人情	shi tai ren qing	9
世道人心	shi dao ren xin	24
业精于勤荒于嬉	ye jing yu qin huang yu xi	6
丛山峻岭	cong shan jun ling	7
东扯西拉	dong che xi la	1
东挪西凑	dong nuo xi cou	9
东摇西摆	dong yao xi bai	1
东方不亮西方亮	dong fang bu liang xi fang liang	6
东歪西倒	dong wai xi dao	14
东游西荡	dong you xi dang	2
东游西逛	dong you xi guang	2
东藏西躲	dong cang xi duo	6
东躲西藏	dong duo xi cang	36
东风压倒西风	dong feng ya dao xi feng	12
东风浩荡	dong feng hao dang	8
丝竹管弦	si zhu guan xian	4
丢盔卸甲	diu kui xie jia	5
两虎相争	liang hu xiang zheng	5
两面夹攻	liang mian jia gong	27
严于律已	yan yu lv yi	2
个中三昧	ge zhong san mei	5
个中滋味	ge zhong zi wei	30
中外合璧	zhong wai he bi	1
丰姿绰约	feng zi chuo yue	6
串亲访友	chuan qin fang you	2
临事而惧	lin shi er ju	1
临别赠言	lin bie zeng yan	21
临危授命	lin wei shou ming	27
