# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一元多项式	yi yuan duo xiang shi	22
一对一联系	yi dui yi lian xi	8
一级缓存	yi ji huan cun	47
一维数组	yi wei shu zu	13
一致性哈希	yi zhi xing ha xi	4
一致性检验	yi zhi xing jian yan	1
一致性测试	yi zhi xing ce shi	21
一致性约束	yi zhi xing yue shu	1
一般函数	yi ban han shu	14
一般图匹配	yi ban tu pi pei	7
一般处理程序	yi ban chu li cheng xu	10
一键分享	yi jian fen xiang	4
一键备份	yi jian bei fen	5
一键安装	yi jian an zhuang	10
一键恢复	yi jian hui fu	11
一键锁屏	yi jian suo ping	9
一阶矩	yi jie ju	8
七层协议	qi ceng xie yi	1
七层模型	qi ceng mo xing	3
七牛	qi niu	16
七牛云存储	qi niu yun cun chu	10
万兆网卡	wan zhao wang ka	8
万能适配器	wan neng shi pei qi	8
三位编码	san wei bian ma	3
三元运算符	san yuan yun suan fu	14
三分搜索	san fen sou suo	7
三分查找	san fen cha zhao	7
三大框架	san da kuang jia	1
三大范式	san da fan shi	1
三层交换	san ceng jiao huan	1
三层交换机	san ceng jiao huan ji	6
三层架构	san ceng jia gou	9
三态门	san tai men	8
三方库	san fang ku	11
三方插件	san fang cha jian	6
三方框架	san fang kuang jia	3
三方类库	san fang lei ku	7
三次握手	san ci wo shou	18
三消类游戏	san xiao lei you xi	1
三点透视	san dian tou shi	5
三目运算	san mu yun suan	1
三级模式	san ji mo shi	9
三级缓存	san ji huan cun	19
三级网络	san ji wang luo	3
三级联动	san ji lian dong	1
三维偏序	san wei pian xu	8
三维建模	san wei jian mo	36
三维扫描仪	san wei sao miao yi	21
三维数组	san wei shu zu	1
三维注册	san wei zhu ce	4
三维虚拟现实	san wei xu ni xian shi	5
三维重建	san wei chong jian	25
三维重构	san wei chong gou	1
三范式	san fan shi	13
三角剖分	san jiao pou fen	22
三角测距	san jiao ce ju	7
三角面片	san jiao mian pian	8
上下位关系	shang xia wei guan xi	4
上下拉刷新	shang xia la shua xin	10
上下文分析	shang xia wen fen xi	3
上下文切换	shang xia wen qie huan	33
上下文属性	shang xia wen shu xing	10
上下文菜单	shang xia wen cai dan	15
上下滑动	shang xia hua dong	20
上下滚动	shang xia gun dong	12
上下界最大流	shang xia jie zui da liu	7
上下界网络流	shang xia jie wang luo liu	8
上传下载	shang chuan xia zai	18
上传代码	shang chuan dai ma	3
上传图片	shang chuan tu pian	34
上传数据	shang chuan shu ju	12
上传文件	shang chuan wen jian	29
上传服务器	shang chuan fu wu qi	1
上传视频	shang chuan shi pin	46
上位机	shang wei ji	11
上升时间	shang sheng shi jian	9
上升沿	shang sheng yan	26
上层语言	shang ceng yu yan	10
上拉	shang la	13
上拉刷新	shang la shua xin	11
上拉加载	shang la jia zai	11
上拉加载更多	shang la jia zai geng duo	11
上拉电阻	shang la dian zu	48
上机作业	shang ji zuo ye	2
上机实践	shang ji shi jian	8
上架流程	shang jia liu cheng	7
上海传智	shang hai chuan zhi	7
上行链路	shang xing lian lu	36
下一状态	xia yi zhuang tai	14
下位机	xia wei ji	3
下拉列表	xia la lie biao	10
下拉列表框	xia la lie biao kuang	2
下拉刷新	xia la shua xin	4
下拉加载	xia la jia zai	10
下拉式选单	xia la shi xuan dan	24
下拉放大	xia la fang da	7
下拉框	xia la kuang	7
下拉电阻	xia la dian zu	10
下拉菜单	xia la cai dan	37
下推自动机	xia tui zi dong ji	37
下标越界	xia biao yue jie	2
下行链路	xia xing lian lu	44
下载图片	xia zai tu pian	4
下载工具	xia zai gong ju	42
下载管理器	xia zai guan li qi	43
下载缓存	xia zai huan cun	1
下载者	xia zai zhe	8
下降时间	xia jiang shi jian	8
下降沿	xia jiang yan	23
不区分大小写	bu qu fen da xiao xie	43
不变式	bu bian shi	38
不变模式	bu bian mo shi	9
不可变对象	bu ke bian dui xiang	5
不可变类	bu ke bian lei	2
不可抵赖	bu ke di lai	4
不可逆加密	bu ke ni jia mi	8
不可重复读	bu ke chong fu du	9
不启用	bu qi yong	13
不完全信息	bu wan quan xin xi	15
不完全性	bu wan quan xing	19
不完全数据	bu wan quan shu ju	7
不归零制	bu gui ling zhi	1
不执行	bu zhi xing	15
不确定性推理	bu que ding xing tui li	2
不确定推理	bu que ding tui li	2
不确定知识	bu que ding zhi shi	6
不等长编码	bu deng chang bian ma	7
不良资产处置	bu liang zi chan chu zhi	5
不重复随机数	bu chong fu sui ji shu	8
与运算	yu yun suan	13
丑数	chou shu	11
专业词典	zhuan ye ci dian	3
专业词库	zhuan ye ci ku	1
专家系统	zhuan jia xi tong	10
专家经验	zhuan jia jing yan	1
专用文件	zhuan yong wen jian	9
专用程序集	zhuan yong cheng xu ji	4
专用线路	zhuan yong xian lu	35
专用计算机	zhuan yong ji suan ji	8
专用词	zhuan yong ci	15
专线接入	zhuan xian jie ru	15
世界变换	shi jie bian huan	2
世界坐标	shi jie zuo biao	5
世界坐标系	shi jie zuo biao xi	7
丘奇论题	qiu qi lun ti	4
业务层	ye wu ceng	9
业务流程管理	ye wu liu cheng guan li	32
业务理解	ye wu li jie	9
业务知识	ye wu zhi shi	28
两个指针	liang ge zhi zhen	17
两点间距离	liang dian jian ju li	5
两端对齐	liang duan dui qi	6
严格模式	yan ge mo shi	9
个人云	ge ren yun	8
个人代码	ge ren dai ma	9
个人建站	ge ren jian zhan	7
个人数字助理	ge ren shu zi zhu li	15
个人机房重构	ge ren ji fang chong gou	6
个人版	ge ren ban	10
个体编码	ge ti bian ma	8
个性化推荐	ge xing hua tui jian	7
个性化设置	ge xing hua she zhi	11
中介者模式	zhong jie zhe mo shi	9
中值滤波	zhong zhi lv bo	7
中值滤波器	zhong zhi lv bo qi	30
中兴阅读	zhong xing yue du	5
中划线	zhong hua xian	3
中国剩余定理	zhong guo sheng yu ding li	47
中国菜刀下载	zhong guo cai dao xia zai	6
中型计算机	zhong xing ji suan ji	12
中央处理单元	zhong yang chu li dan yuan	20
中央处理机	zhong yang chu li ji	7
中序	zhong xu	13
中序遍历	zhong xu bian li	34
中心机构	zhong xin ji gou	6
中心矩	zhong xin ju	42
中文乱码	zhong wen luan ma	4
中文信息	zhong wen xin xi	47
中文分词	zhong wen fen ci	5
中文参数	zhong wen can shu	11
中文字符	zhong wen zi fu	19
中文平台	zhong wen ping tai	11
中文手册	zhong wen shou ce	5
中文排序	zhong wen pai xu	8
中文操作系统	zhong wen cao zuo xi tong	6
中文支持	zhong wen zhi chi	12
中文教程	zhong wen jiao cheng	11
中文文档	zhong wen wen dang	12
中文显示	zhong wen xian shi	26
中文编码	zhong wen bian ma	17
中文语料库	zhong wen yu liao ku	1
中文路径	zhong wen lu jing	1
中断上下文	zhong duan shang xia wen	12
中断事件	zhong duan shi jian	16
中断优先级	zhong duan you xian ji	11
中断向量	zhong duan xiang liang	34
中断向量表	zhong duan xiang liang biao	17
中断处理	zhong duan chu li	34
中断子系统	zhong duan zi xi tong	8
中断寄存器	zhong duan ji cun qi	9
中断屏蔽	zhong duan ping bi	3
中断机制	zhong duan ji zhi	3
中断流程	zhong duan liu cheng	8
中断请求	zhong duan qing qiu	33
中断队列	zhong duan dui lie	7
中断阻塞	zhong duan zu se	9
中断驱动	zhong duan qu dong	4
中期调度	zhong qi diao du	5
中级技术	zhong ji ji shu	17
中级数据结构	zhong ji shu ju jie gou	4
中缀表达式	zhong zhui biao da shi	6
中缀转后缀	zhong zhui zhuan hou zhui	8
中途相遇法	zhong tu xiang yu fa	7
中间代码	zhong jian dai ma	13
中间结点	zhong jian jie dian	2
中间设备	zhong jian she bei	12
串匹配	chuan pi pei	5
串口硬盘	chuan kou ying pan	8
串口编程	chuan kou bian cheng	10
串口调试	chuan kou tiao shi	2
串口通信	chuan kou tong xin	6
串口通讯	chuan kou tong xun	11
串处理	chuan chu li	3
串并	chuan bing	10
串并转换器	chuan bing zhuan huan qi	4
串联匹配	chuan lian pi pei	6
串行任务	chuan xing ren wu	7
串行传输	chuan xing chuan shu	5
串行加法器	chuan xing jia fa qi	5
串行化	chuan xing hua	29
串行排序	chuan xing pai xu	2
串行端口	chuan xing duan kou	28
串行计算机	chuan xing ji suan ji	3
串行调度	chuan xing diao du	1
串行队列	chuan xing dui lie	12
临时对象	lin shi dui xiang	35
临时文件	lin shi wen jian	48
临时表空间	lin shi biao kong jian	12
临界控制	lin jie kong zhi	1
临界资源	lin jie zi yuan	7
主从切换	zhu cong qie huan	10
主从同步	zhu cong tong bu	1
主从复制	zhu cong fu zhi	1
主从配置	zhu cong pei zhi	10
主体技术	zhu ti ji shu	3
主元素	zhu yuan su	10
主副本	zhu fu ben	1
主功能函数	zhu gong neng han shu	5
主动动词	zhu dong dong ci	8
主动查询	zhu dong cha xun	4
主动视觉	zhu dong shi jue	6
主存	zhu cun	49
主存数据库	zhu cun shu ju ku	5
主密钥	zhu mi yue	31
主属性	zhu shu xing	18
主席树	zhu xi shu	12
主控台	zhu kong tai	48
主数据	zhu shu ju	12
主文件	zhu wen jian	18
主方法	zhu fang fa	13
主时钟	zhu shi zhong	5
主机密钥	zhu ji mi yue	1
主机操作系统	zhu ji cao zuo xi tong	19
主段	zhu duan	4
主流处理器	zhu liu chu li qi	5
