# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
一捻金胶囊	yi nian jin jiao nang	3
一期愈合	yi qi yu he	1
一期梅毒	yi qi mei du	2
一期缝合	yi qi feng he	4
一次性使用导尿管	yi ci xing shi yong dao niao guan	6
一次性使用静脉输液针	yi ci xing shi yong jing mai shu ye zhen	4
一次性口罩	yi ci xing kou zhao	20
一次性输液器	yi ci xing shu ye qi	1
一氯二氟乙烷	yi lv er fu yi wan	2
一清胶囊	yi qing jiao nang	1
一清软胶囊	yi qing ruan jiao nang	3
一清颗粒	yi qing ke li	4
一甲胺	yi jia an	2
一级亲属	yi ji qin shu	4
一级预防	yi ji yu fang	3
一贯煎	yi guan jian	1
一过性脑缺血	yi guo xing nao que xue	4
丁二磺酸腺苷蛋氨酸	ding er huang suan xian gan dan an suan	2
丁公藤	ding gong teng	32
丁卡因	ding ka yin	5
丁咯地尔	ding ge di er	1
丁型病毒性肝炎	ding xing bing du xing gan yan	2
丁甘仁	ding gan ren	16
丁硼乳膏	ding peng ru gao	2
丁细牙痛胶囊	ding xi ya tong jiao nang	2
丁胺卡那霉素	ding an ka na mei su	2
丁蔻理中丸	ding kou li zhong wan	3
丁螺环酮	ding luo huan tong	24
丁酸氢化可的松	ding suan qing hua ke di song	4
丁香叶	ding xiang ye	4
丁香油酚	ding xiang you fen	33
七制香附丸	qi zhi xiang fu wan	2
七十味珍珠	qi shi wei zhen zhu	2
七十味珍珠丸	qi shi wei zhen zhu wan	1
七厘散	qi li san	3
七厘胶囊	qi li jiao nang	4
七叶一枝花	qi ye yi zhi hua	9
七叶洋地黄双苷滴眼液	qi ye yang di huang shuang gan di yan ye	3
七叶皂苷钠	qi ye zao gan na	3
七叶皂苷钠片	qi ye zao gan na pian	2
七叶神安滴丸	qi ye shen an di wan	3
七叶神安片	qi ye shen an pian	3
七味消渴胶囊	qi wei xiao ke jiao nang	3
七味糖脉舒胶囊	qi wei tang mai shu jiao nang	3
七味葡萄散	qi wei pu tao san	4
七味螃蟹甲丸	qi wei pang xie jia wan	4
七味解毒活血膏	qi wei jie du huo xue gao	2
七味都气丸	qi wei du qi wan	2
七味铁屑丸	qi wei tie xie wan	3
七宝美髯丹	qi bao mei ran dan	1
七情	qi qing	47
七氟醚	qi fu mi	28
七生力片	qi sheng li pian	2
七生静片	qi sheng jing pian	2
七美岛	qi mei dao	18
七鞭回春乐胶囊	qi bian hui chun le jiao nang	4
万乃洛韦	wan nai luo wei	3
万应宝珍膏	wan ying bao zhen gao	2
万应甘和茶	wan ying gan he cha	2
万托林	wan tuo lin	1
万氏牛黄清心丸	wan shi niu huang qing xin wan	2
万爽力	wan shuang li	6
万痛筋骨贴	wan tong jin gu tie	3
万通筋骨片	wan tong jin gu pian	5
万通筋骨贴	wan tong jin gu tie	4
三七伤药片	san qi shang yao pian	5
三七养血胶囊	san qi yang xue jiao nang	2
三七总皂苷	san qi zong zao gan	2
三七片	san qi pian	1
三七粉	san qi fen	1
三七胶囊	san qi jiao nang	4
三七药酒	san qi yao jiu	3
三七血伤宁胶囊	san qi xue shang ning jiao nang	2
三七通舒胶囊	san qi tong shu jiao nang	3
三两半药酒	san liang ban yao jiu	4
三九胃泰	san jiu wei tai	11
三九胃泰胶囊	san jiu wei tai jiao nang	3
三九胃泰颗粒	san jiu wei tai ke li	4
三仙丹	san xian dan	1
三体性	san ti xing	2
三十六味消渴胶囊	san shi liu wei xiao ke jiao nang	3
三十烷醇	san shi wan chun	8
三叉神经痛	san cha shen jing tong	39
三叉苦	san cha ku	1
三叶虫类	san ye chong lei	13
三味蒺藜散	san wei ji li san	3
三唑仑片	san zuo lun pian	4
三因极一病证方论	san yin ji yi bing zheng fang lun	6
三妙丸	san miao wan	1
三子养亲汤	san zi yang qin tang	1
三宝胶囊	san bao jiao nang	1
三尖杉酯碱	san jian shan zhi jian	17
三尖瓣狭窄	san jian ban xia zhai	1
三尖瓣返流	san jian ban fan liu	5
三尖瓣闭锁不全	san jian ban bi suo bu quan	2
三带喙库蚊	san dai hui ku wen	4
三房心	san fang xin	3
三日疟	san ri nve	8
三期梅毒	san qi mei du	9
三查七对	san cha qi dui	5
三氟拉嗪	san fu la qin	1
三氯乙烯中毒	san lv yi xi zhong du	5
三氯叔丁醇	san lv shu ding chun	3
三焦	san jiao	8
三焦俞	san jiao shu	2
三焦俞穴	san jiao shu xue	2
三焦辨证	san jiao bian zheng	7
三物备急丸	san wu bei ji wan	2
