# 中英混杂词：字母 + 汉字的固定说法，输入码为「字母音节 + 汉字拼音」（搜狗 / 微软同款）。
# c pan → 敲 cpan 出 C盘。u 是问字前缀，U盘 走 youpan（与 优盘 同读音，候选并列）。
# 由 glimmer-dict-convert lexicon --extra-words 并入基础词库；次数与 domain_words 同一尺度。
# 词	次数	拼音
C盘	8000	c pan
D盘	4000	d pan
E盘	2000	e pan
F盘	300	f pan
G盘	300	g pan
B站	40000	b zhan
A站	1500	a zhan
U盘	9000	you pan
T恤	7000	t xu
A股	5000	a gu
B股	300	b gu
H股	300	h gu
X光	800	x guang
X射线	2000	x she xian
T台	1500	t tai
yyds	8000	y y d s
xswl	2000	x s w l
nbcs	300	n b c s
dddd	300	d d d d
awsl	2000	a w s l
emo	8000	e m o
PUA	8000	p u a
CPU	2000	c p u
CP	8000	c p
CPDD	300	c p d d
OMG	2000	o m g
GG	2000	g g
ojbk	300	o j b k
xdm	2000	x d m
yygq	2000	y y g q
栓Q	8000	shuan q
芭比Q了	2000	ba bi q le
cue	8000	c u e
diss	2000	d i s s
battle	2000	b a t t l e
solo	2000	s o l o
crush	2000	c r u s h
flag	8000	f l a g
get	8000	g e t
BGM	2000	b g m
NPC	2000	n p c
MBTI	2000	m b t i
i人	8000	i ren
e人	8000	e ren
p图	8000	p tu
K歌	2000	k ge
KPI	8000	k p i
BE	2000	b e
rua	300	r u a
pick	2000	p i c k
carry	2000	c a r r y
hold住	2000	h o l d zhu
low	2000	l o w
nice	2000	n i c e
cos	2000	c o s
vlog	2000	v l o g
打call	2000	da c a l l
PK	2000	p k
AA制	8000	a a zhi
emo了	2000	e m o le
我emo了	2000	wo e m o le
OKR	8000	o k r
PPT	8000	p p t
TODO	8000	t o d o
DDL	8000	d d l
PRD	8000	p r d
MVP	2000	m v p
ROI	2000	r o i
GMV	2000	g m v
DAU	2000	d a u
MAU	2000	m a u
PV	2000	p v
UV	2000	u v
CTO	2000	c t o
CEO	8000	c e o
PM	8000	p m
QA	8000	q a
RD	2000	r d
UI	8000	u i
HR	8000	h r
OA	2000	o a
SOP	2000	s o p
API	8000	a p i
SDK	8000	s d k
CI	8000	c i
CD	2000	c d
PR	8000	p r
QPS	2000	q p s
P0	8000	p 0
P1	8000	p 1
bug	8000	b u g
review	8000	r e v i e w
demo	8000	d e m o
ETC	2000	e t c
P图	2000	p tu
VIP	2000	v i p
APP	2000	a p p
